ID,age,job_id,id_marital,id_education,default,balance,housing,loan,id_contact,day,month,duration,campaign,pdays,previous,id_poutcome,target
1,30,1,M,P,no,1787,no,no,C,19,oct,79,1,-1,0,U,no
2,33,2,M,S,no,4789,yes,yes,C,11,may,220,1,339,4,F,no
3,35,3,S,T,no,1350,yes,no,C,16,apr,185,1,330,1,F,no
4,30,3,M,T,no,1476,yes,yes,U,3,jun,199,4,-1,0,U,no
5,59,4,M,S,no,0,yes,no,U,5,may,226,1,-1,0,U,no
6,35,3,S,T,no,747,no,no,C,23,feb,141,2,176,3,F,no
7,36,5,M,T,no,307,yes,no,C,14,may,341,1,330,2,O,no
8,39,6,M,S,no,147,yes,no,C,6,may,151,2,-1,0,U,no
9,41,7,M,T,no,221,yes,no,U,14,may,57,2,-1,0,U,no
10,43,2,M,P,no,-88,yes,yes,C,17,apr,313,1,147,2,F,no
11,39,2,M,S,no,9374,yes,no,U,20,may,273,1,-1,0,U,no
12,43,8,M,S,no,264,yes,no,C,17,apr,113,2,-1,0,U,no
13,36,6,M,T,no,1109,no,no,C,13,aug,328,2,-1,0,U,no
14,20,9,S,S,no,502,no,no,C,30,apr,261,1,-1,0,U,yes
15,31,4,M,S,no,360,yes,yes,C,29,jan,89,1,241,1,F,no
16,40,3,M,T,no,194,no,yes,C,29,aug,189,2,-1,0,U,no
17,56,6,M,S,no,4073,no,no,C,27,aug,239,5,-1,0,U,no
18,37,8,S,T,no,2317,yes,no,C,20,apr,114,1,152,2,F,no
19,25,4,S,P,no,-221,yes,no,U,23,may,250,1,-1,0,U,no
20,31,2,M,S,no,132,no,no,C,7,jul,148,1,152,1,O,no
21,38,3,D,U,no,0,yes,no,C,18,nov,96,2,-1,0,U,no
22,42,3,D,T,no,16,no,no,C,19,nov,140,3,-1,0,U,no
23,44,2,S,S,no,106,no,no,U,12,jun,109,2,-1,0,U,no
24,44,7,M,S,no,93,no,no,C,7,jul,125,2,-1,0,U,no
25,26,10,M,T,no,543,no,no,C,30,jan,169,3,-1,0,U,no
26,41,3,M,T,no,5883,no,no,C,20,nov,182,2,-1,0,U,no
27,55,4,M,P,no,627,yes,no,U,5,may,247,1,-1,0,U,no
28,67,11,M,U,no,696,no,no,T,17,aug,119,1,105,2,F,no
29,56,5,M,S,no,784,no,yes,C,30,jul,149,2,-1,0,U,no
30,53,8,M,S,no,105,no,yes,C,21,aug,74,2,-1,0,U,no
31,68,11,D,S,no,4189,no,no,T,14,jul,897,2,-1,0,U,yes
32,31,6,M,S,no,171,no,no,C,27,aug,81,3,-1,0,U,no
33,59,3,M,S,no,42,no,no,C,21,nov,40,1,-1,0,U,no
34,32,3,S,T,no,2536,yes,no,C,26,aug,958,6,-1,0,U,yes
35,49,6,M,T,no,1235,no,no,C,13,aug,354,3,-1,0,U,yes
36,42,8,D,S,no,1811,yes,no,U,14,may,150,1,-1,0,U,no
37,78,11,D,P,no,229,no,no,T,22,oct,97,1,-1,0,U,yes
38,32,4,M,S,no,2089,yes,no,C,14,nov,132,1,-1,0,U,yes
39,33,3,M,S,no,3935,yes,no,C,6,may,765,1,342,2,F,yes
40,23,2,S,T,no,363,yes,no,U,30,may,16,18,-1,0,U,no
41,38,3,S,T,no,11971,yes,no,U,17,nov,609,2,101,3,F,no
42,36,3,S,T,no,553,no,no,C,11,aug,106,2,-1,0,U,no
43,52,4,M,S,no,1117,yes,no,C,13,may,365,1,-1,0,U,no
44,32,6,M,T,no,396,yes,no,C,13,may,205,3,-1,0,U,no
45,32,6,S,T,no,2204,yes,no,C,21,nov,11,4,-1,0,U,no
46,34,3,S,T,no,872,yes,no,U,7,may,105,2,-1,0,U,no
47,55,4,M,P,no,145,no,no,T,2,feb,59,3,5,2,O,no
48,26,4,M,P,no,0,yes,no,U,21,may,425,1,-1,0,U,no
49,32,7,S,P,yes,-849,yes,yes,C,4,feb,204,1,-1,0,U,no
50,61,8,M,U,no,4629,yes,no,C,27,jan,181,1,92,1,S,yes
51,45,4,D,P,no,844,no,no,U,5,jun,1018,3,-1,0,U,yes
52,37,6,S,S,no,228,yes,no,C,20,aug,1740,2,-1,0,U,no
53,38,6,S,S,no,50,no,no,C,29,aug,98,2,-1,0,U,no
54,34,6,M,T,no,1539,yes,no,C,15,jun,441,1,56,1,O,yes
55,53,4,M,S,no,2231,yes,no,C,14,jul,272,3,-1,0,U,no
56,48,8,M,S,no,3064,yes,no,T,15,jul,159,2,-1,0,U,no
57,57,3,M,S,no,82,no,yes,T,4,feb,140,1,-1,0,U,no
58,33,5,S,T,no,2155,no,no,C,17,nov,295,1,-1,0,U,no
59,36,11,S,S,no,101,yes,yes,U,26,may,314,1,-1,0,U,no
60,54,6,D,S,no,784,yes,yes,U,15,may,579,1,-1,0,U,no
61,41,4,M,P,no,-516,no,yes,T,8,jul,554,3,-1,0,U,no
62,63,11,M,S,no,415,yes,no,C,7,oct,323,1,-1,0,U,no
63,48,3,M,T,no,5887,no,no,C,13,aug,227,2,-1,0,U,no
64,48,2,M,S,no,1355,no,no,C,4,jul,134,2,-1,0,U,no
65,56,8,M,S,no,16873,no,no,C,7,oct,223,1,-1,0,U,no
66,51,4,D,S,no,203,yes,no,C,8,may,134,1,170,5,F,no
67,31,2,M,S,no,338,yes,no,C,28,jan,155,1,-1,0,U,no
68,29,6,M,S,no,444,yes,no,C,21,jul,130,4,-1,0,U,no
69,41,3,M,S,no,0,no,yes,C,7,jul,630,3,-1,0,U,no
70,32,6,S,T,no,360,no,no,C,19,nov,164,2,-1,0,U,no
71,37,3,M,T,no,0,no,no,C,16,jul,268,2,182,3,S,yes
72,42,7,D,T,yes,2,yes,no,U,5,may,380,1,-1,0,U,no
73,31,3,S,T,no,6248,yes,no,U,9,may,154,2,-1,0,U,no
74,41,2,M,T,no,412,yes,no,U,3,jun,154,5,-1,0,U,no
75,56,11,M,S,no,344,yes,no,U,15,may,221,1,-1,0,U,no
76,54,3,D,T,no,3222,no,no,C,14,aug,67,2,-1,0,U,no
77,41,4,D,S,no,174,yes,no,C,14,may,367,2,297,1,O,no
78,40,6,S,S,no,591,no,yes,C,14,aug,87,6,-1,0,U,no
79,50,4,D,P,no,388,no,no,C,5,feb,701,1,-1,0,U,no
80,40,1,M,S,no,219,yes,no,C,17,nov,204,2,196,1,F,no
81,27,8,D,S,no,451,yes,no,C,16,jul,652,1,-1,0,U,yes
82,60,11,M,P,no,5,no,no,C,26,aug,63,2,-1,0,U,no
83,28,8,S,S,no,177,yes,yes,C,6,may,150,1,-1,0,U,no
84,52,2,M,S,no,657,no,no,T,7,jul,398,2,460,2,F,yes
85,37,3,M,T,no,1315,no,no,C,30,jun,224,1,-1,0,U,yes
86,51,4,M,P,no,1466,yes,no,U,7,may,406,2,-1,0,U,no
87,41,6,S,S,no,879,no,yes,C,7,jul,60,4,-1,0,U,no
88,35,4,S,P,no,293,yes,no,U,30,may,521,2,-1,0,U,no
89,38,8,M,S,no,424,yes,no,C,17,apr,279,1,-1,0,U,no
90,34,4,M,S,no,1831,yes,no,U,20,may,203,2,-1,0,U,no
91,39,4,M,P,no,111,no,no,C,18,nov,201,2,-1,0,U,no
92,34,4,M,P,no,455,yes,no,U,20,jun,372,3,-1,0,U,no
93,27,2,S,S,no,-195,yes,no,C,18,may,391,1,-1,0,U,yes
94,32,3,S,T,no,3616,no,no,C,14,aug,165,2,-1,0,U,no
95,57,4,M,S,no,14093,no,no,C,11,aug,231,5,-1,0,U,no
96,41,12,S,T,no,1567,no,no,C,1,jul,291,2,-1,0,U,no
97,41,8,M,T,no,5426,yes,no,U,14,may,149,2,-1,0,U,no
98,30,8,S,T,no,261,no,no,C,19,oct,233,1,137,20,F,no
99,36,4,D,S,no,2843,no,no,C,12,feb,473,1,182,1,S,no
100,31,1,S,P,no,406,no,no,C,4,feb,736,1,-1,0,U,yes
101,36,4,M,S,no,0,yes,no,U,6,may,337,1,-1,0,U,no
